Course Name,Category,Subcategory,Overall Rating,Number of Ratings,Students Enrolled,Created By,Last Update,Language,Number of Translations,Original Price,Discounted Price,Course Duration,Number of Lessons
The Complete Python Bootcamp From Zero to Hero in Python,Programming Languages,Python,4.6,"463,032","1,721,045",Jose Portilla,3.2021,English,"English [Auto], Arabic [Auto], 14 more",ג‚×449.90,ג‚×53.90,22 hours,14
The Complete 2023 Web Development Bootcamp,Web Development,None,4.7,"285,582","963,938",Dr. Angela Yu,5.2023,English,"English, Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,65 hours,74
The Web Developer Bootcamp 2023,Web Development,None,4.7,"258,589","863,143",Colt Steele,5.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,73.5 hours,54
100 Days of Code: The Complete Python Pro Bootcamp for 2023,Programming Languages,Python,4.7,"198,608","870,059",Dr. Angela Yu,5.2023,English,"English, Arabic [Auto], 16 more",ג‚×429.90,ג‚×53.90,54 hours,219
Angular - The Complete Guide (2023 Edition),Web Development,Angular,4.6,"184,948","682,323",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,35 hours,48
"React - The Complete Guide (incl Hooks, React Router, Redux)",Programming Languages,React JS,4.6,"184,793","734,453",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Bulgarian [Auto], 24 more",ג‚×399.90,ג‚×45.90,48 hours,50
Java Programming Masterclass updated to Java 17,Programming Languages,Java,4.6,"181,148","774,929",Tim Buchalka,5.2023,English,"English, Bulgarian [Auto], 22 more",ג‚×429.90,ג‚×53.90,114 hours,3
The Complete JavaScript Course: From Zero to Expert!,Web Development,JavaScript,4.7,"176,287","783,284",Jonas Schmedtmann,5.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,69 hours,22
"Machine Learning A-Zג„¢: AI, Python & R + ChatGPT Bonus [2023]",Data Science,Python,4.5,"169,218","940,996",Kirill Eremenko,5.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×429.90,ג‚×53.90,42 hours,39
Python for Data Science and Machine Learning Bootcamp,Data Science,Machine Learning,4.6,"130,517","638,319",Jose Portilla,5.202,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,25 hours,13
The Data Science Course: Complete Data Science Bootcamp,Data Science,None,4.6,"123,572","592,671",365 Careers,12.2022,English,"English [CC], Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,31 hours,92
Automate the Boring Stuff with Python Programming,Programming Languages,Python,4.7,"107,272","1,086,534",Al Sweigart,2.2023,English,"English, Arabic [Auto], 13 more",ג‚×179.90,ג‚×45.90,9.5 hours,None
Selenium WebDriver with Java -Basics to Advanced+Frameworks,Software Testing,Java,4.6,"99,639","315,514",Rahul Shetty,5.2023,English,"English [Auto], Bulgarian [Auto], 22 more",ג‚×499.90,ג‚×59.90,54.5 hours,58
Complete C# Unity Game Developer 2D,Game Development,Game Development Fundamentals,4.7,"99,133","447,369",GameDev.tv Team,4.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×429.90,ג‚×53.90,18.5 hours,3
Learn Python Programming Masterclass,Programming Languages,Python,4.6,"98,436","411,598",Tim Buchalka,3.2023,English,"English, Arabic [Auto], 13 more",ג‚×499.90,ג‚×63.90,72.5 hours,13
Build Responsive Real-World Websites with HTML and CSS,Web Development,CSS,4.8,"94,432","376,278",Jonas Schmedtmann,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,37.5 hours,4
iOS & Swift - The Complete iOS App Development Bootcamp,Mobile Development,Swift,4.7,"84,802","338,314",Dr. Angela Yu,11.2021,English,"English, Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,59.5 hours,114
Modern React with Redux [2023 Update],Web Development,React JS,4.7,"82,392","299,339",Stephen Grider,5.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,37.5 hours,22
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Database Design & Development,MySQL,4.6,"81,358","383,035",Colt Steele,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×429.90,ג‚×53.90,36.5 hours,278
The Complete Web Developer Course 3.0,Web Development,None,4.5,"71,222","309,087",Rob Percival,4.2023,English,"English [Auto], Arabic [Auto], 11 more",ג‚×399.90,ג‚×45.90,31 hours,35
"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners",Programming Languages,Spring Framework,4.6,"71,062","310,745",Chad Darby,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×499.90,ג‚×59.90,43.5 hours,33
The Complete Node.js Developer Course (3rd Edition),Programming Languages,Node.Js,4.6,"69,590","291,571",Andrew Mead,3.2021,English,"English [CC], Arabic [Auto], 11 more",ג‚×299.90,ג‚×45.90,35 hours,None
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,Game Development,Unreal Engine,4.7,"64,520","337,419",Ben Tristem,1.2023,English,"English [Auto], Arabic [Auto], 11 more",ג‚×399.90,ג‚×45.90,29.5 hours,6
C# Basics for Beginners: Learn C# Fundamentals by Coding,Programming Languages,C#,4.5,"62,331","209,043",Mosh Hamedani,12.202,English,"English, Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,5 hours,11
The Python Mega Course: Learn Python in 60 Days with 20 Apps,Programming Languages,Python,4.6,"62,063","294,553",Ardit Sulce,5.2023,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,49 hours,91
Flutter & Dart - The Complete Guide [2023 Edition],Mobile Development,Dart (programming language),4.6,"61,667","249,431",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×499.90,ג‚×59.90,30 hours,13
The Complete Web Developer in 2023: Zero to Mastery,Web Development,None,4.7,"61,066","210,813",Andrei Neagoie,4.2023,English,"English [Auto], French [Auto], 7 more",ג‚×399.90,ג‚×45.90,37.5 hours,153
Beginning C++ Programming - From Beginner to Beyond,Programming Languages,C++,4.6,"59,268","251,416",Tim Buchalka's Learn Programming Academy,4.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,46 hours,2
Vue - The Complete Guide (incl. Router & Composition API),Web Development,Vue JS,4.7,"59,136","219,911",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,31.5 hours,36
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Software Development Tools,Docker,4.7,"58,896","294,575",Bret Fisher,5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×499.90,ג‚×63.90,21 hours,39
Docker and Kubernetes: The Complete Guide,Software Development Tools,Docker,4.7,"54,311","282,758",Stephen Grider,5.2023,English,"English [CC], Arabic [Auto], 15 more",ג‚×349.90,ג‚×63.90,21.5 hours,64
R Programming A-Zג„¢: R For Data Science With Real Exercises!,Data Science,R (programming language),4.6,"50,234","253,191",Kirill Eremenko,3.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,10.5 hours,4
The Complete Flutter Development Bootcamp with Dart,Mobile Development,Google Flutter,4.6,"48,842","169,871",Dr. Angela Yu,12.2021,English,"English, Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,28.5 hours,54
Complete Python Developer in 2023: Zero to Mastery,Programming Languages,Python,4.6,"48,234","196,754",Andrei Neagoie,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×599.90,ג‚×69.90,30.5 hours,62
Python and Django Full Stack Web Developer Bootcamp,Web Development,Django,4.5,"47,348","196,865",Jose Portilla,9.2019,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,32 hours,6
JavaScript: Understanding the Weird Parts,Web Development,JavaScript,4.8,"46,791","185,174",Anthony Alicea,11.2022,English,"English, Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,12 hours,10
The Python Bibleג„¢ | Everything You Need to Program in Python,Programming Languages,Python,4.6,"46,611","155,683",Ziyad Yehia,4.2021,English,"English, Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,9 hours,4
SQL for Beginners: Learn SQL using MySQL and Database Design,Database Design & Development,SQL,4.5,"44,989","145,025",Tim Buchalka's Learn Programming Academy,10.2022,English,"English, Bulgarian [Auto], 21 more",ג‚×349.90,ג‚×55.90,8 hours,None
Master Microservices with Spring Boot and Spring Cloud,Web Development,Microservices,4.6,"44,600","218,273",in28Minutes Official,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×69.90,ג‚×43.90,22 hours,43
The Complete React Native + Hooks Course,Mobile Development,React Native,4.6,"42,982","181,427",Stephen Grider,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×329.90,ג‚×45.90,38 hours,40
"Deep Learning A-Zג„¢ 2023: Neural Networks, AI & ChatGPT Bonus",Data Science,Deep Learning,4.6,"42,860","354,844",Kirill Eremenko,5.2023,English,"English, Arabic [Auto], 11 more",ג‚×459.90,ג‚×55.90,22 hours,34
Understanding TypeScript,Web Development,Typescript,4.7,"42,285","202,551",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,15 hours,22
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",Programming Languages,Express Framework,4.6,"41,069","214,789",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,40.5 hours,64
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Web Development,CSS,4.8,"40,672","192,107",Jonas Schmedtmann,5.2023,English,"English, Arabic [Auto], 15 more",ג‚×399.90,ג‚×45.90,28 hours,2
Complete C# Unity Game Developer 3D,Game Development,3D Game Development,4.7,"38,875","204,301",Ben Tristem,2.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×459.90,ג‚×55.90,30.5 hours,5
Apache Kafka Series - Learn Apache Kafka for Beginners v3,Database Design & Development,Apache Kafka,4.7,"38,202","189,563","Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,8.5 hours,10
Mastering Data Structures & Algorithms using C and C++,Software Engineering,Data Structures,4.6,"38,001","149,966",Abdul Bari,10.2022,English,"English [Auto], Bulgarian [Auto], 21 more",ג‚×399.90,ג‚×45.90,58.5 hours,1
Statistics for Data Science and Business Analysis,Data Science,Business Analytics,4.6,"37,486","173,478",365 Careers,4.2023,English,"English [Auto], Arabic [Auto], 15 more",ג‚×429.90,ג‚×53.90,5 hours,28
Python for Beginners: Learn Python Programming (Python 3),Programming Languages,Python,4.5,"36,288","122,726",Jason Cannon,5.2023,English,"English, Bulgarian [Auto], 20 more",ג‚×399.90,ג‚×45.90,2.5 hours,1
Java Programming for Complete Beginners,Programming Languages,Java,4.5,"35,129","209,749",in28Minutes Official,5.2023,English,"English, Arabic [Auto], 12 more",ג‚×69.90,ג‚×43.90,33.5 hours,24
HTML and CSS for Beginners - Build a Website & Launch ONLINE,Web Development,CSS,4.4,"34,653","362,013",Edwin Diaz,1.2022,English,"English [Auto], Bulgarian [Auto], 13 more",ג‚×349.90,ג‚×45.90,6 hours,1
React Native - The Practical Guide [2023],Mobile Development,React Native,4.7,"33,157","186,622",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Bulgarian [Auto], 22 more",ג‚×459.90,ג‚×55.90,28.5 hours,14
Data Science A-Zג„¢: Hands-On Exercises & ChatGPT Bonus [2023],Data Science,None,4.5,"33,125","212,393",Kirill Eremenko,3.2023,English,"English [Auto], Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,21 hours,7
